자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
칠금금릉동사무소,유인대여소,충청북도 충주시 칠금중앙로 37,충청북도 충주시 칠금동 874,36.98211052,127.919361,9:00,18:00,주말+공휴일,무료,,4,1,N,,N,043-850-2724,충청북도 충주시청칠금금릉동사무소,2026-05-31,4390000,충청북도 충주시
봉방동사무소,유인대여소,충청북도 충주시 봉방2길 27,충청북도 충주시 봉방동 156,36.973662,127.919316,9:00,18:00,주말+공휴일,무료,,4,1,N,,N,043-850-2714,충청북도 충주시청봉방동사무소,2026-05-31,4390000,충청북도 충주시
달천동사무소,유인대여소,충청북도 충주시 충원대로 211,충청북도 충주시 단월동 408-5,36.947634,127.9011145,9:00,18:00,주말+공휴일,무료,,0,0,N,,N,043-850-2706,충청북도 충주시청달천동사무소,2026-05-31,4390000,충청북도 충주시
호암직동사무소,유인대여소,충청북도 충주시 호암중앙1로 35,충청북도 충주시 호암동 133-2,36.95618482,127.938684,9:00,18:00,주말+공휴일,무료,,0,1,N,,N,043-850-2492,충청북도 충주시청호암직동사무소,2026-05-31,4390000,충청북도 충주시
문화동사무소,유인대여소,충청북도 충주시 사직산6길46,충청북도 충주시 문화동 1523,36.9717908,127.9255592,9:00,18:00,주말+공휴일,무료,,0,1,N,,N,043-850-2482,충청북도 충주시청문화동사무소,2026-05-31,4390000,충청북도 충주시
지현동사무소,유인대여소,충청북도 충주시 지현천변1길 41,충청북도 충주시 지현동 507,36.9683281,127.9322334,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2472,충청북도 충주시청지현동사무소,2026-05-31,4390000,충청북도 충주시
용산동사무소,유인대여소,충청북도 충주시 거룡6길 35,충청북도 충주시 용산동 613,36.96422091,127.9387295,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2462,충청북도 충주시청용산동사무소,2026-05-31,4390000,충청북도 충주시
교현2동사무소,유인대여소,충청북도 충주시 대흥길 46,충청북도 충주시 교현동 1094,36.981453,127.9290983,9:00,18:00,주말+공휴일,무료,,0,1,N,,N,043-850-2454,충청북도 충주시청교현2동사무소,2026-05-31,4390000,충청북도 충주시
교현안림동사무소,유인대여소,충청북도 충주시 금봉대로 410,충청북도 충주시 안림동 1073,36.971443,127.9476474,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2442,충청북도 충주시청교현안림동사무소,2026-05-31,4390000,충청북도 충주시
성내충인동사무소,유인대여소,충청북도 충주시 충인6길 46,충청북도 충주시 성내동 1,36.97341128,127.933851,9:00,18:00,주말+공휴일,무료,,0,1,N,,N,043-850-2432,충청북도 충주시청성내충인동사무소,2026-05-31,4390000,충청북도 충주시
소태면사무소,유인대여소,충청북도 충주시 소태면 쟁골1길 1,충청북도 충주시 소태면 오량리 179-2,37.1100295,127.8479579,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2423,충청북도 충주시청소태면사무소,2026-05-31,4390000,충청북도 충주시
엄정면사무소,유인대여소,충청북도 충주시 엄정면 내창로 185,충청북도 충주시 엄정면 용산리 465-4,37.086811,127.914996,9:00,18:00,주말+공휴일,무료,,0,1,N,,N,043-850-2412,충청북도 충주시청엄정면사무소,2026-05-31,4390000,충청북도 충주시
산척면사무소,유인대여소,충청북도 충주시 산척면 동산로 736,충청북도 충주시 산척면 송강리 1253-1,37.08174785,127.9558194,9:00,18:00,주말+공휴일,무료,,1,1,N,,N,043-850-2402,충청북도 충주시청산척면사무소,2026-05-31,4390000,충청북도 충주시
동량면사무소,유인대여소,충청북도 충주시 동량면 조돈안길 1,충청북도 충주시 동량면 조동리 1370-4,37.02626521,127.9631583,9:00,18:00,주말+공휴일,무료,,2,1,N,,N,043-850-2392,충청북도 충주시청동량면사무소,2026-05-31,4390000,충청북도 충주시
금가면사무소,유인대여소,충청북도 충주시 금가면 강수로 331,충청북도 충주시 금가면 도촌리 108-4,37.04302299,127.9244423,9:00,18:00,주말+공휴일,무료,,0,0,N,,N,043-850-2382,충청북도 충주시청금가면사무소,2026-05-31,4390000,충청북도 충주시
중앙탑면사무소,유인대여소,충청북도 충주시 중앙탑면 중앙탑길 247,충청북도 충주시 중앙탑면 탑평리 180-5,37.02881038,127.8573313,9:00,18:00,주말+공휴일,무료,,4,0,N,,N,043-850-2372,충청북도 충주시청중앙탑면사무소,2026-05-31,4390000,충청북도 충주시
앙성면사무소,유인대여소,충청북도 충주시 앙성면 가곡로 1005,충청북도 충주시 앙성면 용포리 102-1,37.10918402,127.750777,9:00,18:00,주말+공휴일,무료,,0,1,N,,N,043-850-2362,충청북도 충주시청앙성면사무소,2026-05-31,4390000,충청북도 충주시
노은면사무소,유인대여소,충청북도 충주시 노은면 연하중앙길 15,충청북도 충주시 노은면 연하리 539-2,37.04815293,127.7538698,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2353,충청북도 충주시청노은면사무소,2026-05-31,4390000,충청북도 충주시
신니면사무소,유인대여소,충청북도 충주시 신니면 신덕로 780,충청북도 충주시 신니면 용원리 35-1,36.99588294,127.7367367,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2343,충청북도 충주시청신니면사무소,2026-05-31,4390000,충청북도 충주시
대소원면사무소,유인대여소,충청북도 충주시 대소원면 대소원1길 29,충청북도 충주시 대소원면 대소리 241,36.9779768,127.8172788,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2332,충청북도 충주시청대소원면사무소,2026-05-31,4390000,충청북도 충주시
수안보면사무소,유인대여소,충청북도 충주시 수안보면 관동길 9-9,충청북도 충주시 수안보면 온천리 100,36.84737254,127.9943482,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2323,충청북도 충주시청수안보면사무소,2026-05-31,4390000,충청북도 충주시
살미면사무소,유인대여소,충청북도 충주시 살미면 세성양지말길 41,충청북도 충주시 살미면 세성리 335-2,36.90536484,127.9646242,9:00,18:00,주말+공휴일,무료,,3,1,N,,N,043-850-2312,충청북도 충주시청살미면사무소,2026-05-31,4390000,충청북도 충주시
주덕읍사무소,유인대여소,충청북도 충주시 주덕읍 신덕로 1359,충청북도 충주시 주덕읍 신양리 206,36.97555456,127.7949736,9:00,18:00,주말+공휴일,무료,,2,1,N,,N,043-850-2301,충청북도 충주시청주덕읍사무소,2026-05-31,4390000,충청북도 충주시
충주시청,유인대여소,충청북도 충주시 으뜸로 21,충청북도 충주시 금릉동 700,36.99073595,127.926555,9:00,18:00,주말+공휴일,무료,,23,1,N,,N,043-850-6245,충청북도 충주시청,2026-05-31,4390000,충청북도 충주시
자라섬자전거대여소,유인대여소,경기도 가평군 가평읍 자라섬로60,경기도 가평군 가평읍 대곡리 27-14,37.820894,127.521044,9:00,18:00,동절기(11월+12월+1월+2월+3월),유료,1인용 30분당 3000원+4~6인용 30분당 10000원,81,0,Y,기계식,N,031-8078-8322,가평군시설관리공단,2026-05-20,4160000,경기도 가평군
광명이 대여소 (18개소),무인대여소,경기도 광명시 시청로 20,경기도 광명시 철산동 222-1,37.47909912,126.8648475,9:00,23:00,연중무휴,혼합,30분 500원 등,100,115,N,기계식,N,02-2680-5879,경기도 광명시청,2026-04-14,3900000,경기도 광명시
광명스피돔 자전거대여소,유인대여소,경기도 광명시 광명로 721,경기도 광명시 광명동 780,37.4668955,126.8453132,11:30,18:00,월+화+수+목,혼합,1시간 무료 초과 10분당 1000원,100,20,Y,기계식,N,02-2067-5641,경기도 광명시 경륜경정사업본부,2026-04-14,3900000,경기도 광명시
굴포천 공공자전거 대여소,유인대여소,,경기도 부천시 오정구 삼정동 366-5,37.52059691,126.7606764,9:00,18:00,월요일+ 공휴일,무료,,22,22,Y,기계식,N,032-625-9093,경기도 부천시 건설정책과,2026-06-18,3860000,경기도 부천시
송내역 공공자전거 대여소,유인대여소,경기도 부천시 원미구 부일로 224-9,경기도 부천시 원미구 상동 463-1,37.48797014,126.7550005,9:00,18:00,주말+ 공휴일,무료,,30,30,Y,기계식,N,032-625-9093,경기도 부천시 건설정책과,2026-06-18,3860000,경기도 부천시
부천역 공공자전거 대여소,유인대여소,경기도 부천시 원미구 부천로 3-1,경기도 부천시 원미구 심곡동 173-1,37.48467954,126.7818758,9:00,18:00,주말+ 공휴일,무료,,29,29,Y,기계식,N,032-625-9093,경기도 부천시 건설정책과,2026-06-18,3860000,경기도 부천시
부천시청역 공공자전거 대여소,유인대여소,경기도 부천시 원미구 길주로 202,경기도 부천시 원미구 중동 1243,37.50460316,126.7626916,9:00,18:00,주말+ 공휴일,무료,,32,22,Y,기계식,N,032-625-9093,경기도 부천시 건설정책과,2026-06-18,3860000,경기도 부천시
상동역 공공자전거 대여소,유인대여소,경기도 부천시 원미구 길주로 105,경기도 부천시 원미구 상동 535-5,37.50639109,126.7541356,9:00,18:00,주말+ 공휴일,무료,,28,25,Y,기계식,N,032-625-9093,경기도 부천시 건설정책과,2026-06-18,3860000,경기도 부천시
호명읍 늘품복지센터,무인대여소,경상북도 예천군 호명읍 봉호로 4205-20,경상북도 예천군 호명읍 오천리 74-1,36.59035671,128.4715739,5:00,23:59,연중무휴,혼합,회원권 1000원,15,15,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
LH아파트 앞,무인대여소,경상북도 예천군 호명읍 행복로 111,경상북도 예천군 호명읍 산합리 1117,36.57875458,128.4752438,5:00,23:59,연중무휴,혼합,회원권 1000원,15,15,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
우방센텀아파트 정문 옆,무인대여소,경상북도 예천군 호명읍 검무로 27,경상북도 예천군 호명읍 산합리 1400,36.57910682,128.494682,5:00,23:59,연중무휴,혼합,회원권 1000원,15,15,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
우방센트럴아파트 정문 옆,무인대여소,경상북도 예천군 호명읍 행복로 229,경상북도 예천군 호명읍 산합리 1398,36.57808126,128.4898472,5:00,23:59,연중무휴,혼합,회원권 1000원,15,15,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
우방2차 아파트 정문 옆,무인대여소,경상북도 예천군 호명읍 행복로 230,경상북도 예천군 호명읍 산합리 1383,36.57709318,128.4878418,5:00,23:59,연중무휴,혼합,회원권 1000원,15,15,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
호반2차아파트 정문 옆,무인대여소,경상북도 예천군 호명읍 양지로 14,경상북도 예천군 호명읍 산합리 1381,36.57681019,128.4820774,5:00,23:59,연중무휴,혼합,회원권 1000원,15,15,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
동일아파트 후문 옆,무인대여소,경상북도 예천군 호명읍 행복로 177,경상북도 예천군 호명읍 산합리 1393,36.57948311,128.4823777,5:00,23:59,연중무휴,혼합,회원권 1000원,15,15,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
경북도서관 앞,무인대여소,경상북도 예천군 호명읍 도청대로 200,경상북도 예천군 호명읍 산합리 1498,36.57428004,128.4886886,5:00,23:59,연중무휴,혼합,회원권 1000원,20,30,Y,태양광식,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
경북일고등학교 건너편,무인대여소,,경상북도 예천군 호명읍 산합리 1384,36.57729587,128.4848494,5:00,23:59,연중무휴,혼합,회원권 1000원,15,30,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
정부경북지방합동청사 앞,무인대여소,,경상북도 예천군 호명읍 금능리 782,36.57693412,128.4677205,5:00,23:59,연중무휴,혼합,회원권 1000원,20,30,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
스마트도시통합운영센터 옆,무인대여소,경상북도 예천군 호명읍 행복7길 25-4,경상북도 예천군 호명읍 산합리 1122,36.57678049,128.4732407,5:00,23:59,연중무휴,혼합,회원권 1000원,20,30,N,,N,054-650-8976,경상북도 예천군,2026-03-17,5230000,경상북도 예천군
광주광역시 남구청 건설과,유인대여소,광주광역시 남구 봉선로 1,,35.132906,126.902432,9:00,16:00,토+일+공휴일,무료,,25,10,Y,,Y,062-607-4042,광주광역시 남구청,2026-03-26,5815000,전남광주통합특별시 남구
모산초 삼거리(김해시 율하로 482),무인대여소,경상남도 김해시 율하로 482,경상남도 김해시 장유동 875-1,35.16753976,128.8274054,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
국립가야역사문화센터(김해시 대청로 45),무인대여소,경상남도 김해시 대청로 45,경상남도 김해시 관동동 452-3,35.17923251,128.7986755,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
롯데가든파크(김해시 신문동 733-2),무인대여소,,경상남도 김해시 신문동 733-2,35.18356112,128.8237309,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
칠암도서관(김해시 활천로285번길 14),무인대여소,경상남도 김해시 활천로285번길 14,경상남도 김해시 삼방동 192,35.24456328,128.910444,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
김해종합운동장(김해시 가야로 243),무인대여소,경상남도 김해시 가야로 243,경상남도 김해시 구산동 1049-2,35.25789724,128.8749007,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
함박공원(김해시 함박로 21),무인대여소,경상남도 김해시 함박로 21,경상남도 김해시 외동 1205,35.23361292,128.8565717,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
제일교회 사거리(김해시 동상동 1056-7),무인대여소,,경상남도 김해시 동상동 1056-7,35.23374324,128.8847748,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
선천들공원(김해시 주촌면 천곡로15번길 34),무인대여소,경상남도 김해시 주촌면 천곡로15번길 34,경상남도 김해시 주촌면 천곡리 1547,35.23047116,128.8382568,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
선지공원(김해시 주촌면 선지로 70),무인대여소,경상남도 김해시 주촌면 선지로 70,경상남도 김해시 주촌면 선지리 1512,35.22950193,128.8449244,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
진영한빛도서관(김해시 김해대로 440),무인대여소,경상남도 김해시 진영읍 김해대로 440,경상남도 김해시 진영읍 여래리 530-2,35.30467825,128.7369112,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
가야대역(1번출구 옆),무인대여소,경상남도 김해시 해반천로 211,경상남도 김해시 삼계동 1519-7,35.26672721,128.8650703,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,Y,태양광식,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
부원역(1번출구 옆),무인대여소,경상남도 김해시 김해대로 2342,경상남도 김해시 부원동 1043,35.22571653,128.8832404,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,Y,태양광식,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
공주공원(김해시 내동 1146-7),무인대여소,경상남도 김해시 내외로95번길 4,경상남도 김해시 내동 1146-7,35.23479223,128.8679235,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,15,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
거북공원(김해시 내동 1116-2),무인대여소,경상남도 김해시 내외로77번길 17,경상남도 김해시 내동 1116-2,35.23619539,128.8657444,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,15,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
연지공원(김해시 내동 1068),무인대여소,,경상남도 김해시 내동 1068,35.24504243,128.8705006,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,20,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
수로왕비릉(김해시 구산동 92-1),무인대여소,,경상남도 김해시 구산동 93-1,35.24254272,128.877665,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,15,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
수로왕릉(김해시 서상동 335-1),무인대여소,,경상남도 김해시 서상동 335-1,35.23373882,128.878894,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,20,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
대성동고분박물관(김해시 봉황동 451-2),무인대여소,,경상남도 김해시 봉황동 453-1,35.23483439,128.8728269,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,20,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
국립김해박물관(김해시 구산동 241-2),무인대여소,,경상남도 김해시 구산동 1032,35.24371572,128.8722231,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,15,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
연지공원역(2번출구 옆),무인대여소,경상남도 김해시 해반천로 5,경상남도 김해시 구산동 1072-8,35.24965763,128.8692908,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
박물관역(2번출구 옆),무인대여소,경상남도 김해시 김해대로 2103,경상남도 김해시 내동 1037-1,35.24006467,128.8718628,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
수로왕릉역(2번출구 옆),무인대여소,경상남도 김해시 김해대로 2181,경상남도 김해시 외동 1140-1,35.2328215,128.8721631,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
봉황역(1번출구 옆),무인대여소,경상남도 김해시 김해대로 2232,경상남도 김해시 외동 1264,35.22933963,128.8722426,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,15,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
김해시 자전거교육장(김해시 봉황동 458-5),유인대여소,경상남도 김해시 가야의길 80,경상남도 김해시 봉황동 458-5,35.23308861,128.8733056,10:00,17:00,매주 월요일 휴무,무료,,141,30,Y,태양광식,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
장유스포츠센터(삼문동 695),무인대여소,경상남도 김해시 번화2로 72,경상남도 김해시 삼문동 695,35.1957256,128.8049437,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
장유중앙광장(대청동 155),무인대여소,경상남도 김해시 번화1로68번길 22,경상남도 김해시 대청동 155,35.19413571,128.8023354,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
서부문화센터(장유동 824-6),무인대여소,,경상남도 김해시 장유동 824-6,35.17274446,128.822934,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,7,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
장유도서관(대청동 299),무인대여소,경상남도 김해시 대청로176번길 7,경상남도 김해시 대청동 299,35.19135152,128.7970325,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
서어지공원(진영리 1614-2),무인대여소,,경상남도 김해시 진영읍 진영리 1614-2,35.30808066,128.7310999,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
진영역사공원(진영읍 진영리 701-1),무인대여소,,경상남도 김해시 진영읍 진영리 701-1,35.30445719,128.7226581,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
진영운동장(진영리 1347),무인대여소,경상남도 김해시 진영읍 김해대로 253,경상남도 김해시 진영읍 진영리 1347,35.30758467,128.7176183,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
인제대학교(어방동 607),무인대여소,경상남도 김해시 인제로 197,경상남도 김해시 어방동 607,35.25281009,128.9005153,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
장신대역(1번출구 옆),무인대여소,,경상남도 김해시 삼계동 1519-18,35.26090041,128.8668994,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
지내역(2번출구 옆),무인대여소,,경상남도 김해시 지내동 535-2,35.22779783,128.9237144,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
김해대학역(2번출구 옆),무인대여소,,경상남도 김해시 안동 571-3,35.22904987,128.9155286,7:00,22:00,연중무휴,유료,기본요금(대여 후 30분까지): 500원+추가요금(초과 시 10분당): 200원,5,10,N,,N,055-330-2723,경상남도 김해시청,2026-03-19,5350000,경상남도 김해시
